Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
10,100000,5.0,0.45,0.0,0.001,0.001,0.004,8514,191,389,150,0.0018159776383438301,0.0002735611859016694,0.5536424207576529,-0.1477753277163798,-0.8746277253970194,18.251928020565554,0.7776172308857768,0.1173612843276006
20,100000,5.0,0.45,0.0,0.001,0.001,0.004,8514,191,389,150,0.0017375920927990938,0.00019517564035693316,0.508217592642052,-0.17278859407531622,-0.8746277253970194,18.251928020565554,0.7452963902896909,0.0838615859224034
5,50000,10.0,0.35,0.0,0.001,0.001,0.004,9068,164,389,374,0.0033048649114029564,-0.0005408934433528285,1.918162493423973,-0.34597716217447105,-0.7809691665221874,51.41388174807198,1.5836967515922997,-0.2592475271792278
10,50000,10.0,0.35,0.0,0.001,0.001,0.004,9068,164,389,374,0.003082009465584391,-0.0007637488891713938,1.6996044488538673,-0.3951290089942189,-0.7809691665221874,51.9280205655527,1.5087331092985932,-0.373940999469774
20,50000,10.0,0.35,0.0,0.001,0.001,0.004,9068,164,389,374,0.002921498548384563,-0.0009242598063712224,1.5428246772844805,-0.43038834800476633,-0.7809691665221874,51.9280205655527,1.4396036646548185,-0.45550795617347883
10,50000,5.0,0.35,0.0,0.001,0.001,0.004,14011,225,389,387,0.0028402946026130057,-0.001139139844687766,1.5851738062253045,-0.4501574776030286,-0.8176160724996954,55.012853470437015,1.6022113274216923,-0.6426034753346587
20,50000,5.0,0.35,0.0,0.001,0.001,0.004,14011,225,389,387,0.0026485376229591485,-0.0013308968243416228,1.4080171525575333,-0.4879759791861581,-0.8176160724996954,54.24164524421594,1.5118567948426291,-0.7597251903906224
5,50000,5.0,0.35,0.0,0.001,0.001,0.004,14011,225,389,387,0.002709388213931668,-0.001270046233369104,1.3917715376605946,-0.4915048639013667,-0.8176160724996954,52.69922879177378,1.4067198232707077,-0.6594210322033804
5,200000,5.0,0.45,0.0,0.001,0.001,0.004,3998,148,389,70,-0.0007085428160461562,-0.0014283371605191642,-0.3408793077875286,-0.5032471379083983,-0.9627651325056273,7.455012853470437,-0.4186592392806708,-0.8398879715402796
20,200000,5.0,0.45,0.0,0.001,0.001,0.004,3998,148,389,70,-0.0007940074052185139,-0.0015138017496915224,-0.3613666939934336,-0.518745833134483,-0.9627651325056273,7.197943444730077,-0.4723995555870434,-0.8958828613693794
10,200000,5.0,0.45,0.0,0.001,0.001,0.004,3998,148,389,70,-0.0008380116757941457,-0.0015578060202671535,-0.3714923817397644,-0.5264046118147685,-0.9627651325056273,7.197943444730077,-0.5008159488790577,-0.9258274656722655
5,100000,10.0,0.35,0.0,0.001,0.001,0.004,5519,141,389,344,0.0014337259417242449,-0.0021035491225431086,0.33456337593904073,-0.6638121872303024,-0.8326823497864856,43.18766066838046,0.610898870111198,-0.8962047226883503
10,100000,10.0,0.35,0.0,0.001,0.001,0.004,5519,141,389,344,0.0014143259919002537,-0.0021229490723671004,0.32698958781320986,-0.6657254621789354,-0.8326823497864856,42.9305912596401,0.6049299507737302,-0.9079110964361488
20,100000,10.0,0.35,0.0,0.001,0.001,0.004,5519,141,389,344,0.0014069774833160697,-0.002130297580951284,0.323591167768734,-0.6665846470226918,-0.8326823497864856,42.9305912596401,0.6021799463806216,-0.9116464714439483
10,100000,5.0,0.35,0.0,0.001,0.001,0.004,8514,191,389,373,0.0011823626141522579,-0.002653112964253913,0.23499524043892883,-0.7230976275472657,-0.8746277253970194,49.3573264781491,0.5257563850063041,-1.179636707158829
5,100000,5.0,0.35,0.0,0.001,0.001,0.004,8514,191,389,373,0.0011852068260886164,-0.0026502687523175545,0.22709366977250567,-0.7248844373050402,-0.8746277253970194,48.84318766066838,0.5188838080042291,-1.1601816218545646
20,100000,5.0,0.35,0.0,0.001,0.001,0.004,8514,191,389,373,0.0010393840323022275,-0.002796091546103943,0.1719910595262666,-0.73727619441333,-0.8746277253970194,49.3573264781491,0.4655784601327547,-1.252328117256559
5,200000,10.0,0.35,0.0,0.001,0.001,0.004,2599,106,389,191,-0.0009390020103979768,-0.0029030122931743277,-0.4627276476855977,-0.7510045453616717,-0.9633084491025498,21.85089974293059,-0.4111744517184577,-1.2674083470649262
