trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-03-13,"TV1,JVC,NVL",3,-0.007853026769934083,-0.005068209409482474,0.4759882986545563,0.004,-0.011853026769934083,0.3316884002499687,-0.07441784179887267,0.13138066488019917
2025-03-14,"JVC,NVL,DST,TDC,GEE",5,-0.007832917255517824,-0.004400083616254091,0.48248791694641113,0.004,-0.011832917255517824,0.32125739520067786,-0.08537017889005027,0.12640249535291304
2025-03-17,"JVC,APG,VDS,NAB,NAG,DRI,GEE",7,-0.0028776369004123803,-0.010957735711575574,0.47585123777389526,0.004,-0.00687763690041238,0.31745529616530566,-0.09166067069793371,0.11405967450397658
2025-03-18,"JVC,POW,NVL,GEE",4,0.013489378577490774,-0.004989340789742616,0.47461995482444763,0.004,0.009489378577490774,0.3352269494141997,-0.08304109492536238,0.10850125112776654
2025-03-19,"JVC,VSH,APG,NVL",4,0.013411450169196537,-0.0031662216731081333,0.48775458335876465,0.004,0.009411450169196537,0.3531342791108367,-0.07441118188305129,0.10499149044177836
2025-03-20,"JVC,NVL,APG",3,-0.005502478987923516,-0.0085240943645005,0.47786056995391846,0.004,-0.009502478987923516,0.3456886861721902,-0.08320657017866462,0.09557243870528254
2025-03-21,"NVL,APG,JVC,POW",4,-0.01484371244241986,-0.01144698333574084,0.46549224853515625,0.004,-0.01884371244241986,0.3257136702776324,-0.1004823619393177,0.08303143925632628
2025-03-24,"SD3,JVC,MSB,POW,GEE",5,0.008880712720919438,-0.016515245445271033,0.4723172187805176,0.004,0.004880712720919438,0.33748695253356376,-0.0960920747605436,0.06514490921206284
2025-03-25,"DPR,NVL,JVC",3,-0.05371078630237395,-0.020380908294746237,0.4703533947467804,0.004,-0.057710786302373945,0.2656494766438202,-0.14825731187106006,0.04343628849679604
2025-03-26,"VIG,NVL,EVS",3,-0.007145913564398754,-0.01556883646536091,0.46387767791748047,0.004,-0.011145913564398754,0.256605254880897,-0.15775076225205387,0.027191199559166268
2025-03-27,POW,1,-0.06961429915333961,-0.08582517654937673,0.45679643750190735,0.004,-0.07361429915333961,0.1691275607499596,-0.2197523496013034,-0.060967666492965256
2025-03-28,"VIG,POW,AVG,MSB,VTD",5,-0.08850179470216772,-0.10270630900472794,0.4711020886898041,0.004,-0.09250179470216773,0.06565767338782069,-0.2919266575753323,-0.15741221150356954
2025-03-31,"POW,HAP,VIN",3,-0.10346109739778042,-0.14642677025272877,0.47241005301475525,0.004,-0.10746109739778043,-0.04459643895124865,-0.3680169959904015,-0.2807896200274912
2025-04-01,GEE,1,-0.13289141414141414,-0.13768801105450115,0.4629727602005005,0.004,-0.13689141414141415,-0.17156136925476007,-0.45453004312261447,-0.37981626677565794
2025-04-02,"HMS,POW,GEE,MSB",4,-0.11368032505591405,-0.12889427450296587,0.48216766119003296,0.004,-0.11768032505591405,-0.2657385420867553,-0.5187211249561806,-0.4597543991281504
2025-04-03,"HIO,BCA,TCW,SAS,ONE,TV1,MPC,MML,POS,PPH",10,0.024483225287702293,-0.02507535351041636,0.5965561866760254,0.004,0.020483225287702293,-0.2477614533925886,-0.5088629813324461,-0.47330124855245936
2025-04-04,"MPC,IJC,VOS,GSP,POW,ILC,CSC,CSM,LBM",9,0.02311744385089492,0.01385011014112217,0.4760774075984955,0.004,0.01911744385089492,-0.23037162102891295,-0.49947369695497323,-0.46600641283371946
2025-04-08,"HIO,MPC,VLC,CLX,POW,LAI,DRI,IJC,ACV,GDA",10,0.11662492940138199,0.08160670437345073,0.5195815563201904,0.004,0.11262492940138198,-0.14061376566610995,-0.44310195741099245,-0.42242895602852226
2025-04-09,"IJC,ACV,DRI,TVN,LAI,POW,CTG,HDB,MIG,OIL",10,0.12125425108505428,0.10608068871948985,0.508676290512085,0.004,0.11725425108505427,-0.036409531429149156,-0.37780329449648575,-0.36115982189959317
2025-04-10,"DPR,VHC,VOS,IDI,NLG,BCM,NHA,HDG,CTR,IJC",10,0.004807262671667045,0.020444914454102917,0.6003924012184143,0.004,0.0008072626716670453,-0.03177729893881431,-0.3773010183216985,-0.34809878910848646
