model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-02-28,"DRI,LBM,CTP,NVL",4,-0.018174561860329924,-0.0009487928961432187,0.3730448782444,0.004,-0.022174561860329924,1.0105840420576175,0.5349362516296194,0.3726890076483267,2026-06-08 20:08:44
model3,2025-03-03,"DRI,NVL",2,-0.006156837329876874,-0.00189324814896499,0.36892712116241455,0.004,-0.010156837329876874,0.9982052031726225,0.5193461538100865,0.3700901667254919,2026-06-08 20:08:44
model3,2025-03-04,,0,0.0,0.007507602012354188,0.0,0.0,0.0,0.9982052031726225,0.5193461538100865,0.3803762584183068,2026-06-08 20:08:44
model3,2025-03-05,"GEE,DRI",2,0.09390070578843279,0.015786085642333168,0.3768019676208496,0.004,0.08990070578843279,1.1858380820606502,0.655936445374554,0.40216699625234154,2026-06-08 20:08:44
model3,2025-03-06,"GEE,DRI",2,0.007806136301927724,-0.007121652540318717,0.4368285536766052,0.004,0.003806136301927724,1.20290103206316,0.6622391651929793,0.39218125010153004,2026-06-08 20:08:44
model3,2025-03-07,"DRI,NVL",2,0.019056992875890466,-0.0156591099963707,0.37846583127975464,0.004,0.015056992875890466,1.244881701337479,0.6872674884613164,0.3703809307713053,2026-06-08 20:08:44
model3,2025-03-10,"BCM,GEE,TDC,DRI,IJC",5,-0.00214065467465725,-0.006473932407921095,0.3711150884628296,0.004,-0.00614065467465725,1.2400761848294586,0.6769065614708991,0.36150917725238796,2026-06-08 20:08:44
model3,2025-03-11,"GEE,DRI,NVL,CTI",4,-0.034802895693654606,-0.015243446565450063,0.3664347529411316,0.004,-0.03880289569365461,1.1621150470229993,0.6118377310781389,0.3407550848605714,2026-06-08 20:08:44
model3,2025-03-12,GEE,1,-0.0689329556185081,-0.016151546391101404,0.3779526650905609,0.004,-0.0729329556185081,1.0130740664444544,0.4942816413731801,0.31909981690834077,2026-06-08 20:08:44
model3,2025-03-13,NVL,1,0.043269230769230616,-0.008807758062536995,0.3588797450065613,0.004,0.03926923076923061,1.1001782327809928,0.5529609319824882,0.3074815048606754,2026-06-08 20:08:44
model3,2025-03-14,"NVL,GEE,TDC",3,-0.02537034721177145,-0.008339921821177165,0.3828173577785492,0.004,-0.02937034721177145,1.0468959818087344,0.5073499302038462,0.29657721132750225,2026-06-08 20:08:44
model3,2025-03-17,"NAB,GEE,DRI",3,-0.035641641284986814,-0.014918662287043144,0.37495943903923035,0.004,-0.03964164128498682,0.9739412494774267,0.44759610497975544,0.277234013782631,2026-06-08 20:08:44
model3,2025-03-18,"POW,GEE,NVL",3,-0.003985285562717896,-0.005137453200405253,0.36270153522491455,0.004,-0.007985285562717895,0.9660745299142308,0.43603663670201387,0.27067228381085706,2026-06-08 20:08:44
model3,2025-03-19,,0,0.0,-0.0037832292631533775,0.0,0.0,0.0,0.9660745299142308,0.43603663670201387,0.26586503924286586,2026-06-08 20:08:44
model3,2025-03-20,IJC,1,-0.02463891248937966,-0.0060967363720804335,0.3539358973503113,0.004,-0.02863891248937966,0.9176325916240757,0.3949101091319618,0.25814739381596885,2026-06-08 20:08:44
model3,2025-03-21,APG,1,-0.009478672985782088,-0.009464168906216089,0.35742610692977905,0.004,-0.013478672985782088,0.8994559793811934,0.37610857192641056,0.24624007437197903,2026-06-08 20:08:44
model3,2025-03-24,GEE,1,0.020554649265905445,-0.017822637591612563,0.3541789948940277,0.004,0.016554649265905445,0.9384986308334007,0.39888956668645825,0.22402878917430313,2026-06-08 20:08:44
model3,2025-03-25,DPR,1,-0.06925956738768713,-0.021905797970356716,0.38245341181755066,0.004,-0.07325956738768713,0.8042390542802555,0.29640752220785926,0.1972154618087505,2026-06-08 20:08:44
model3,2025-03-26,,0,0.0,-0.017424668122076128,0.0,0.0,0.0,0.8042390542802555,0.29640752220785926,0.1763543797161149,2026-06-08 20:08:44
model3,2025-03-27,,0,0.0,-0.08701014755640597,0.0,0.0,0.0,0.8042390542802555,0.29640752220785926,0.07399961155839119,2026-06-08 20:08:44
