model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2025-07-04,RYG,HOLD,HOLD,0.2972529,0.4857889,0.21695822,3,3,12.2,2900.0,HOLD,-0.024590163934426146,-0.08029467,0.4857889,-0.08029467,2026-06-08 20:08:43
model3,2025-07-07,RYG,HOLD,HOLD,0.4167167,0.42580134,0.157482,3,3,12.2,1500.0,HOLD,-0.024590163934426146,-0.2592347,0.42580134,-0.2592347,2026-06-08 20:08:43
model3,2025-07-08,RYG,HOLD,HOLD,0.36160845,0.4397556,0.19863595,3,3,12.0,1300.0,HOLD,-0.004166666666666763,-0.1629725,0.4397556,-0.1629725,2026-06-08 20:08:43
model3,2025-07-09,RYG,HOLD,HOLD,0.25826815,0.5031011,0.23863073,3,3,11.85,13100.0,HOLD,0.0042194092827005925,-0.01963742,0.5031011,-0.01963742,2026-06-08 20:08:43
model3,2025-07-10,RYG,HOLD,HOLD,0.2515015,0.49671832,0.25178012,3,3,11.85,26900.0,HOLD,0.0042194092827005925,0.0002786219,0.49671832,0.0002786219,2026-06-08 20:08:43
model3,2025-07-11,RYG,HOLD,HOLD,0.2387988,0.54979485,0.21140638,3,3,11.9,19800.0,HOLD,0.0,-0.027392417,0.54979485,-0.027392417,2026-06-08 20:08:43
model3,2025-07-14,RYG,HOLD,HOLD,0.2722156,0.5272042,0.20058016,3,3,11.9,28900.0,HOLD,0.0,-0.07163544,0.5272042,-0.07163544,2026-06-08 20:08:43
model3,2025-07-15,RYG,HOLD,HOLD,0.21486984,0.5706048,0.21452539,3,3,11.95,39300.0,BUY,0.025104602510460206,-0.00034445524,0.5706048,-0.00034445524,2026-06-08 20:08:43
model3,2025-07-16,RYG,HOLD,HOLD,0.2285064,0.6041589,0.16733478,3,3,11.9,12200.0,HOLD,0.008403361344537785,-0.06117162,0.6041589,-0.06117162,2026-06-08 20:08:43
model3,2025-07-17,RYG,HOLD,HOLD,0.187934,0.5936734,0.21839264,3,3,11.9,33300.0,HOLD,0.012605042016806678,0.030458644,0.5936734,0.030458644,2026-06-08 20:08:43
model3,2025-07-18,RYG,HOLD,HOLD,0.26387644,0.5535563,0.18256722,3,3,11.9,27500.0,HOLD,0.008403361344537785,-0.081309214,0.5535563,-0.081309214,2026-06-08 20:08:43
